toxin,region,k,n_studies,tau2,tau2_ci_lb,tau2_ci_ub,I2,H2,pooled,pooled_ci_lb,pooled_ci_ub
DA,Arctic (NE Pacific),14,2,0.001153876147026822,0,0.3965260219844674,7.802773158430966e-5,1.0000780338203863,7.253101145633295,6.712166149159434,7.837630216495023
DA,California,24,8,7.313720488280029,2.95719324477971,26.138079276960983,0.9709620781114688,34.437726082421925,106.09264271983855,16.176828700904988,695.7883431534161
DA,NE Atlantic,4,2,4.849904854207979e-10,0,5.374711263577491,3.0741553519286843e-9,1.0000000030741554,10.558128526507717,7.670383119944184,14.533052161684877
DA,Other/Unknown,2,1,0,,,0,1,238.44323250549658,214.92039896777843,264.5406178321594
STX,Arctic (NE Pacific),13,3,0.5633850665220426,0.11680093956529225,10.135800219487463,0.4539279646702255,1.8312602281420562,22.2074422350152,9.133134193755575,53.99794639596154
STX,NE Atlantic,1,1,,,,,,,,
STX,NW Atlantic,6,1,0,,,0,1,99.6993926624636,85.18523613198032,116.68652161583228
STX,West Africa,2,2,4.553405180394439,0.6367349281893584,455.34051803944385,0.9903671969336247,103.81194270343275,71.168237412533,3.6455048028043904,1389.3598528550426
